case,resolution,n_panels,n_folds,n_verts_b,n_quads_b,n_tris_b,n_verts_a,n_quads_a,n_tris_a,free_b,free_a,tj_b,tj_a,nm_b,nm_a,dup_b,dup_a,orphan_b,orphan_a,comp_b,comp_a,sliv_q_a,sliv_t_a,nonplanar_q_a,inverted_q_a,aspect_p95_a,min_angle_p05_a,planarity_p95_a,mean_edge_a,edge_cv_a
box_unfolding,2.0,5,4,17405,17056,0,17173,17056,0,712,256,0,0,0,0,0,0,0,0,1,1,0,0,28,2,1.017,90.0,0.0,2.013,0.069
box_unfolding,4.0,5,4,4500,4325,0,4388,4325,0,364,132,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.255,90.0,0.0,3.994,0.077
box_unfolding,8.0,5,4,1280,1189,0,1220,1189,0,196,68,0,0,0,0,0,0,0,0,1,1,0,0,24,0,3.04,90.0,0.0,7.625,0.141
branching_tree,2.0,5,4,22390,21942,0,22252,21876,198,902,634,74,72,0,0,1,0,0,0,1,1,0,0,22,2,1.009,90.0,0.0,1.99,0.037
branching_tree,4.0,5,4,5858,5631,0,5785,5630,3,460,313,83,0,0,0,0,0,0,0,1,1,0,0,21,0,1.021,90.0,0.0,3.931,0.067
branching_tree,8.0,5,4,1604,1487,0,1561,1482,15,240,157,39,0,0,0,0,0,0,0,1,1,5,0,26,3,3.651,77.97,0.0,7.667,0.144
cascade_5_deep,2.0,5,4,10767,10488,0,10759,10488,0,562,552,0,0,0,0,0,0,0,0,1,1,0,0,17,3,1.0,90.0,0.0,2.001,0.023
cascade_5_deep,4.0,5,4,2931,2786,0,2923,2786,0,294,284,0,0,0,0,0,0,0,0,1,1,0,0,17,0,1.957,90.0,0.0,3.887,0.082
cascade_5_deep,8.0,5,4,874,795,0,864,795,0,162,152,0,0,0,0,0,0,0,0,1,1,5,0,24,4,3.75,90.0,0.0,7.316,0.167
closed_box,2.0,6,5,26466,26004,0,26008,26004,0,938,32,0,0,0,0,0,0,0,0,1,1,0,0,28,2,1.0,90.0,0.0,2.021,0.077
closed_box,4.0,6,5,6936,6703,0,6710,6703,0,480,22,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.284,90.0,0.0,3.977,0.074
closed_box,8.0,6,5,1852,1738,0,1746,1738,0,246,28,0,0,0,0,0,0,0,0,1,1,0,0,22,0,1.231,83.19,0.0,7.798,0.126
cross,2.0,5,4,22402,22045,0,22300,22045,0,724,528,0,0,0,0,0,0,0,0,1,1,0,0,20,2,1.0,90.0,0.0,2.006,0.042
cross,4.0,5,4,5783,5604,0,5733,5604,0,368,268,0,0,0,0,0,0,0,0,1,1,0,0,14,2,1.034,90.0,0.0,3.978,0.07
cross,8.0,5,4,1535,1444,0,1507,1444,0,192,136,0,0,0,0,0,0,0,0,1,1,0,0,18,2,3.95,90.0,0.0,7.847,0.138
cross_nonrect,2.0,5,4,19142,18789,0,19028,18789,0,716,496,0,0,0,0,0,0,0,0,1,1,0,0,20,2,1.0,90.0,0.0,2.007,0.048
cross_nonrect,4.0,5,4,5102,4921,0,5044,4921,0,372,256,0,0,0,0,0,0,0,0,1,1,0,0,14,2,1.283,90.0,0.0,3.923,0.068
cross_nonrect,8.0,5,4,1406,1313,0,1374,1313,0,196,132,0,0,0,0,0,0,0,0,1,1,0,0,18,2,3.824,90.0,0.0,7.605,0.134
h_shape,2.0,5,4,20173,19664,0,20167,19664,0,1016,1004,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.015,90.0,0.0,1.991,0.015
h_shape,4.0,5,4,5171,4916,0,5163,4916,0,508,494,0,0,0,2,0,0,0,0,1,1,0,0,16,2,1.015,90.0,0.0,3.986,0.028
h_shape,8.0,5,4,1452,1320,0,1444,1320,0,266,250,2,0,0,0,0,0,0,0,1,1,0,0,16,1,1.06,90.0,0.0,7.725,0.073
l_shape,2.0,2,1,6201,6032,0,6199,6032,0,336,332,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.018,90.0,0.0,1.995,0.014
l_shape,4.0,2,1,1593,1508,0,1591,1508,0,168,164,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.018,90.0,0.0,3.993,0.025
l_shape,8.0,2,1,420,377,0,418,377,0,84,80,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.046,90.0,0.0,8.007,0.052
l_shape_nonrect,2.0,2,1,9177,8976,0,9175,8976,0,400,396,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.008,90.0,0.0,2.0,0.011
l_shape_nonrect,4.0,2,1,2345,2244,0,2343,2244,0,200,196,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.008,90.0,0.0,4.002,0.02
l_shape_nonrect,8.0,2,1,612,561,0,610,561,0,100,96,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.008,90.0,0.0,8.018,0.039
long_thin_panel,2.0,2,1,6156,6000,0,6154,6000,0,310,306,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.0,90.0,0.0,2.0,0.012
long_thin_panel,4.0,2,1,1599,1520,0,1597,1520,0,156,152,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.013,90.0,0.0,3.977,0.025
long_thin_panel,8.0,2,1,420,380,0,418,380,0,78,74,0,0,0,0,0,0,0,0,1,1,0,0,6,0,1.013,90.0,0.0,7.962,0.037
mismatched_resolution,2.0,2,1,12463,12220,0,12461,12220,0,484,480,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1.004,90.0,0.0,2.001,0.01
mismatched_resolution,4.0,2,1,3216,3093,0,3214,3093,0,244,240,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1.07,90.0,0.0,3.979,0.026
mismatched_resolution,8.0,2,1,844,782,0,842,782,0,122,118,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1.07,90.0,0.0,7.928,0.045
mixed_fold_dirs,2.0,3,2,14985,14720,0,14981,14720,0,528,520,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.0,90.0,0.0,2.0,0.011
mixed_fold_dirs,4.0,3,2,3854,3720,0,3850,3720,0,266,258,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.02,90.0,0.0,3.981,0.023
mixed_fold_dirs,8.0,3,2,987,920,0,983,920,0,132,124,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.025,90.0,0.0,8.022,0.045
nearly_aligned_free_edges,2.0,3,2,13365,13120,0,13361,13120,0,488,480,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.0,90.0,0.0,2.0,0.011
nearly_aligned_free_edges,4.0,3,2,3362,3240,0,3358,3240,0,242,234,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.025,90.0,0.0,4.028,0.025
nearly_aligned_free_edges,8.0,3,2,861,800,0,857,800,0,120,112,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.025,90.0,0.0,8.127,0.048
quad_junction,2.0,4,4,23469,23104,0,19626,23104,0,730,423,0,0,0,7492,3842,0,0,0,1,1,0,0,11,1,1.0,90.0,0.0,2.0,0.011
quad_junction,4.0,4,4,6035,5852,0,6000,5775,231,366,295,115,54,0,0,0,0,0,0,1,1,0,0,10,4,1.033,86.03,0.0,3.97,0.051
quad_junction,8.0,4,4,1574,1482,0,1554,1450,96,184,144,57,24,0,0,0,0,0,0,1,1,0,0,10,3,1.587,50.19,0.0,7.891,0.073
staircase,2.0,4,3,14871,14566,0,14814,14566,0,612,506,0,0,0,0,0,0,0,0,1,1,0,0,19,2,1.019,90.0,0.0,1.997,0.039
staircase,4.0,4,3,3855,3700,0,3823,3700,0,312,252,0,0,0,0,0,0,0,0,1,1,0,0,18,1,1.019,90.0,0.0,3.964,0.071
staircase,8.0,4,3,1035,955,0,1016,955,0,162,128,0,0,0,0,0,0,0,0,1,1,2,0,17,1,3.962,90.0,0.0,7.817,0.139
t_shape,2.0,3,2,12276,12017,0,12272,12017,0,516,508,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.017,90.0,0.0,1.997,0.014
t_shape,4.0,3,2,3168,3038,0,3164,3038,0,258,250,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.038,90.0,0.0,3.976,0.03
t_shape,8.0,3,2,867,800,0,863,800,0,132,124,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.071,90.0,0.0,7.77,0.054
t_shape_nonrect,2.0,3,2,15051,14792,0,15047,14792,0,516,508,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.007,90.0,0.0,2.003,0.011
t_shape_nonrect,4.0,3,2,3784,3655,0,3780,3655,0,256,248,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.021,90.0,0.0,4.032,0.023
t_shape_nonrect,8.0,3,2,1012,946,0,1008,946,0,130,122,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.045,90.0,0.0,7.943,0.047
tiny_panel,2.0,2,1,10807,10600,0,10805,10600,0,412,408,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.0,90.0,0.0,2.0,0.009
tiny_panel,4.0,2,1,2703,2600,0,2701,2600,0,204,200,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1.01,90.0,0.0,4.041,0.04
tiny_panel,8.0,2,1,702,650,0,700,650,0,102,98,0,0,0,0,0,0,0,0,1,1,0,0,6,0,1.01,90.0,0.0,8.086,0.044
triple_junction,2.0,3,3,13494,13200,0,13431,13200,0,586,460,0,0,0,0,61,0,0,0,1,1,0,0,8,0,1.004,90.0,0.0,2.0,0.008
triple_junction,4.0,3,3,3514,3366,0,3481,3366,0,294,228,0,0,0,0,30,0,0,0,1,1,2,0,8,1,1.033,90.0,0.0,3.963,0.03
triple_junction,8.0,3,3,933,858,0,915,858,0,148,112,0,0,0,0,15,0,0,0,1,1,2,0,8,1,1.074,90.0,0.0,7.867,0.059
u_shape,2.0,3,2,11304,11076,0,11300,11076,0,454,446,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.007,90.0,0.0,1.99,0.013
u_shape,4.0,3,2,2923,2808,0,2919,2808,0,228,220,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.021,90.0,0.0,3.956,0.027
u_shape,8.0,3,2,760,702,0,756,702,0,114,106,0,0,0,0,0,0,0,0,1,1,0,0,16,0,1.021,90.0,0.0,7.934,0.05
wide_t,2.0,2,1,8736,8514,0,8734,8514,0,442,438,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1.016,90.0,0.0,1.993,0.013
wide_t,4.0,2,1,2288,2175,0,2286,2175,0,224,220,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1.035,90.0,0.0,3.945,0.026
wide_t,8.0,2,1,620,562,0,618,562,0,114,110,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1.061,90.0,0.0,7.776,0.049
zigzag_4,2.0,4,3,10846,10602,0,10840,10602,0,486,474,0,0,0,0,0,0,0,0,1,1,0,0,24,0,1.0,90.0,0.0,2.001,0.016
zigzag_4,4.0,4,3,2850,2726,0,2844,2726,0,246,234,0,0,0,0,0,0,0,0,1,1,0,0,24,0,1.018,90.0,0.0,3.95,0.031
zigzag_4,8.0,4,3,784,720,0,778,720,0,126,114,0,0,0,0,0,0,0,0,1,1,0,0,24,0,1.031,90.0,0.0,7.718,0.061
zigzag_6,2.0,6,5,13571,13248,0,13561,13248,0,648,628,0,0,0,0,0,0,0,0,1,1,0,0,40,0,1.011,90.0,0.0,2.005,0.022
zigzag_6,4.0,6,5,3473,3312,0,3463,3312,0,324,304,0,0,0,0,0,0,0,0,1,1,0,0,40,0,1.011,90.0,0.0,4.016,0.038
zigzag_6,8.0,6,5,921,840,0,911,840,0,164,144,0,0,0,0,0,0,0,0,1,1,0,0,40,0,1.047,89.3,0.0,8.018,0.072
